* Freq(Hz), SPL(dB)
9595.738281,97.602
9665.273438,97.523
9735.311523,97.443
9805.857422,97.364
9876.915039,97.284
9948.487305,97.205
10020.57813,97.126
10093.19141,97.047
10166.33106,96.969
10240,96.891
10314.20313,96.813
10388.94434,96.736
10464.22656,96.659
10540.05469,96.582
10616.43262,96.505
10693.36328,96.428
10770.85254,96.352
10848.90234,96.276
10927.51758,96.2
11006.70313,96.125
11086.46191,96.051
11166.79883,95.976
11247.71875,95.903
11329.22363,95.83
11411.32031,95.758
11494.01172,95.687
11577.30176,95.618
11661.19531,95.549
11745.69727,95.482
11830.81152,95.417
11916.54297,95.353
12002.89453,95.29
12089.87305,95.229
12177.48047,95.169
12265.72363,95.11
12354.60645,95.052
12444.13281,94.995
12534.30859,94.939
12625.13672,94.884
12716.62402,94.83
12808.77344,94.776
12901.5918,94.722
12995.08203,94.668
13089.25,94.615
13184.09961,94.561
13279.63672,94.507
13375.86719,94.452
13472.79395,94.398
13570.42285,94.342
13668.75977,94.287
13767.80957,94.231
13867.57715,94.176
13968.06738,94.12
14069.28516,94.064
14171.23731,94.007
14273.92773,93.95
14377.36231,93.893
14481.54688,93.835
14586.48633,93.776
14692.18555,93.717
14798.65137,93.656
14905.88867,93.594
15013.90234,93.531
15122.7002,93.467
15232.28516,93.401
15342.66406,93.333
15453.84375,93.264
15565.8291,93.193
15678.625,93.12
15792.23926,93.046
15906.67578,92.97
16021.94238,92.894
16138.04395,92.817
16254.98633,92.739
16372.77734,92.659
16491.42188,92.579
16610.92383,92.497
16731.29492,92.414
16852.53516,92.329
16974.65625,92.244
17097.66211,92.158
17221.55859,92.071
17346.35352,91.984
17472.05273,91.897
17598.66211,91.81
17726.18945,91.724
17854.64063,91.639
17984.02148,91.555
18114.3418,91.473
18245.60547,91.394
18377.82031,91.317
18510.99414,91.243
18645.13281,91.173
18780.24219,91.107
18916.33203,91.045
19053.4082,90.989
19191.47656,90.939
19330.54688,90.892
19470.62305,90.849
19611.71484,90.797
19753.83008,90.747
19896.97461,90.698
