* Freq(Hz), SPL(dB)
3202.193359,99.968
3225.397949,99.887
3248.770508,99.798
3272.3125,99.702
3296.024902,99.598
3319.90918,99.487
3343.966797,99.369
3368.198486,99.245
3392.605713,99.113
3417.189941,98.976
3441.952393,98.834
3466.894287,98.688
3492.016846,98.54
3517.321289,98.392
3542.809326,98.243
3568.481934,98.094
3594.340576,97.942
3620.386719,97.787
3646.621582,97.625
3673.046387,97.455
3699.662842,97.276
3726.472168,97.09
3753.475586,96.898
3780.675049,96.708
3808.071289,96.523
3835.666016,96.352
3863.460938,96.2
3891.457275,96.072
3919.65625,95.971
3948.059814,95.895
3976.668945,95.842
4005.485596,95.805
4034.510986,95.779
4063.746582,95.758
4093.194336,95.735
4122.855469,95.703
4152.730957,95.656
4182.82373,95.59
4213.133789,95.499
4243.664062,95.385
4274.415527,95.249
4305.389648,95.093
4336.588379,94.917
4368.013184,94.72
4399.665527,94.496
4431.547363,94.241
4463.660156,93.951
4496.005371,93.627
4528.585449,93.278
4561.401367,92.919
4594.455078,92.576
4627.748535,92.285
4661.283203,92.09
4695.060547,92.037
4729.083008,92.163
4763.352051,92.486
4797.869141,92.995
4832.636719,93.659
4867.655762,94.431
4902.928711,95.267
4938.45752,96.126
4974.243652,96.976
5010.289062,97.795
5046.595703,98.566
5083.165527,99.278
5120,99.924
5157.101562,100.5
5194.472168,101.004
5232.113281,101.435
5270.027344,101.794
5308.216309,102.083
5346.681641,102.306
5385.42627,102.468
5424.451172,102.577
5463.758789,102.64
5503.351562,102.669
5543.230957,102.672
5583.399414,102.66
5623.859375,102.642
5664.611816,102.629
5705.660156,102.628
5747.005859,102.644
5788.650879,102.682
5830.597656,102.742
5872.848633,102.823
5915.405762,102.918
5958.271484,103.016
6001.447266,103.104
6044.936523,103.167
6088.740234,103.19
6132.861816,103.161
6177.303223,103.075
6222.066406,102.927
6267.154297,102.718
6312.568359,102.451
6358.312012,102.128
6404.386719,101.755
6450.795898,101.338
6497.541016,100.885
6544.625,100.405
6592.049805,99.906
6639.818359,99.399
6687.933594,98.893
6736.396973,98.398
6785.211426,97.922
6834.379883,97.474
6883.904785,97.062
6933.788574,96.691
6984.033691,96.37
7034.642578,96.107
7085.618652,95.911
7136.963867,95.791
7188.681152,95.757
7240.773438,95.813
7293.243164,95.959
7346.092773,96.191
7399.325684,96.499
7452.944336,96.872
7506.951172,97.294
7561.350098,97.75
7616.142578,98.226
7671.332031,98.707
7726.921875,99.179
7782.914551,99.627
7839.3125,100.038
7896.119629,100.399
7953.337891,100.699
8010.971191,100.925
8069.021973,101.068
8127.493164,101.118
8186.388672,101.072
8245.710938,100.925
8305.461914,100.683
8365.647461,100.353
8426.267578,99.953
8487.328125,99.509
8548.831055,99.055
8610.779297,98.628
8673.176758,98.262
8736.026367,97.977
8799.331055,97.775
8863.094727,97.639
8927.320312,97.543
8992.010742,97.459
9057.170898,97.365
